2018-07-20 00:05:00 | t: 16.374457 | C: False; H: False
2018-07-20 00:10:00 | t: 16.349446 | C: False; H: False
2018-07-20 00:15:00 | t: 16.324447 | C: False; H: False
2018-07-20 00:20:00 | t: 16.299448 | C: False; H: False
2018-07-20 00:25:00 | t: 16.274449 | C: False; H: False
2018-07-20 00:30:00 | t: 16.249450 | C: False; H: False
2018-07-20 00:35:00 | t: 16.224451 | C: False; H: False
2018-07-20 00:40:00 | t: 16.199453 | C: False; H: False
2018-07-20 00:45:00 | t: 16.174455 | C: False; H: False
2018-07-20 00:50:00 | t: 16.149457 | C: False; H: False
2018-07-20 00:55:00 | t: 16.124460 | C: False; H: False
2018-07-20 01:00:00 | t: 16.099462 | C: False; H: False
2018-07-20 01:05:00 | t: 16.074465 | C: False; H: False
2018-07-20 01:10:00 | t: 16.049468 | C: False; H: False
2018-07-20 01:15:00 | t: 16.024471 | C: False; H: False
2018-07-20 01:20:00 | t: 15.999474 | C: False; H: False
2018-07-20 01:25:00 | t: 15.974478 | C: False; H: False
2018-07-20 01:30:00 | t: 15.949482 | C: False; H: False
2018-07-20 01:35:00 | t: 15.924473 | C: False; H: False
2018-07-20 01:40:00 | t: 15.899472 | C: False; H: False
2018-07-20 01:45:00 | t: 15.874472 | C: False; H: False
2018-07-20 01:50:00 | t: 15.849472 | C: False; H: False
2018-07-20 01:55:00 | t: 15.824472 | C: False; H: False
2018-07-20 02:00:00 | t: 15.799472 | C: False; H: False
2018-07-20 02:05:00 | t: 15.749213 | C: False; H: False
2018-07-20 02:10:00 | t: 15.691015 | C: False; H: False
2018-07-20 02:15:00 | t: 15.632684 | C: False; H: False
2018-07-20 02:20:00 | t: 15.574350 | C: False; H: False
2018-07-20 02:25:00 | t: 15.516017 | C: False; H: False
2018-07-20 02:30:00 | t: 15.457683 | C: False; H: True
2018-07-20 02:35:00 | t: 19.121022 | C: False; H: False
2018-07-20 02:40:00 | t: 15.403501 | C: False; H: True
2018-07-20 02:45:00 | t: 19.005405 | C: False; H: False
2018-07-20 02:50:00 | t: 15.286852 | C: False; H: True
2018-07-20 02:55:00 | t: 18.888738 | C: False; H: False
2018-07-20 03:00:00 | t: 15.170185 | C: False; H: True
2018-07-20 03:05:00 | t: 18.740497 | C: False; H: False
2018-07-20 03:10:00 | t: 14.980446 | C: False; H: True
2018-07-20 03:15:00 | t: 18.540670 | C: False; H: False
2018-07-20 03:20:00 | t: 14.780449 | C: False; H: True
2018-07-20 03:25:00 | t: 18.340670 | C: False; H: False
2018-07-20 03:30:00 | t: 14.580449 | C: False; H: True
2018-07-20 03:35:00 | t: 18.140671 | C: False; H: False
2018-07-20 03:40:00 | t: 14.380448 | C: False; H: True
2018-07-20 03:45:00 | t: 17.940671 | C: False; H: False
2018-07-20 03:50:00 | t: 14.180448 | C: False; H: True
2018-07-20 03:55:00 | t: 17.740671 | C: False; H: False
2018-07-20 04:00:00 | t: 13.980448 | C: False; H: True
2018-07-20 04:05:00 | t: 17.641710 | C: False; H: False
2018-07-20 04:10:00 | t: 14.014277 | C: False; H: True
2018-07-20 04:15:00 | t: 17.707825 | C: False; H: False
2018-07-20 04:20:00 | t: 14.080935 | C: False; H: True
2018-07-20 04:25:00 | t: 17.774492 | C: False; H: False
2018-07-20 04:30:00 | t: 14.147602 | C: False; H: True
2018-07-20 04:35:00 | t: 17.841158 | C: False; H: False
2018-07-20 04:40:00 | t: 14.214268 | C: False; H: True
2018-07-20 04:45:00 | t: 17.907825 | C: False; H: False
2018-07-20 04:50:00 | t: 14.280935 | C: False; H: True
2018-07-20 04:55:00 | t: 17.974491 | C: False; H: False
2018-07-20 05:00:00 | t: 14.347602 | C: False; H: True
2018-07-20 05:05:00 | t: 17.927879 | C: False; H: False
2018-07-20 05:10:00 | t: 14.152110 | C: False; H: True
2018-07-20 05:15:00 | t: 17.696190 | C: False; H: False
2018-07-20 05:20:00 | t: 13.919814 | C: False; H: True
2018-07-20 05:25:00 | t: 17.463884 | C: False; H: False
2018-07-20 05:30:00 | t: 13.687507 | C: False; H: True
2018-07-20 05:35:00 | t: 17.231578 | C: False; H: False
2018-07-20 05:40:00 | t: 13.455200 | C: False; H: True
2018-07-20 05:45:00 | t: 16.999272 | C: False; H: False
2018-07-20 05:50:00 | t: 13.222893 | C: False; H: True
2018-07-20 05:55:00 | t: 16.766965 | C: False; H: False
2018-07-20 06:00:00 | t: 12.990586 | C: False; H: True
2018-07-20 06:05:00 | t: 17.050396 | C: False; H: True
2018-07-20 06:10:00 | t: 17.673510 | C: False; H: True
2018-07-20 06:15:00 | t: 18.238924 | C: False; H: True
2018-07-20 06:20:00 | t: 18.803370 | C: False; H: True
2018-07-20 06:25:00 | t: 19.367799 | C: False; H: True
2018-07-20 06:30:00 | t: 19.932229 | C: False; H: True
2018-07-20 06:35:00 | t: 20.496658 | C: False; H: True
2018-07-20 06:40:00 | t: 21.061087 | C: False; H: True
2018-07-20 06:45:00 | t: 21.625516 | C: False; H: True
2018-07-20 06:50:00 | t: 22.189945 | C: False; H: True
2018-07-20 06:55:00 | t: 22.754374 | C: False; H: True
2018-07-20 07:00:00 | t: 23.318803 | C: False; H: True
2018-07-20 07:05:00 | t: 23.616639 | C: False; H: False
2018-07-20 07:10:00 | t: 20.109037 | C: False; H: True
2018-07-20 07:15:00 | t: 23.980860 | C: False; H: False
2018-07-20 07:20:00 | t: 20.533263 | C: False; H: True
2018-07-20 07:25:00 | t: 24.406092 | C: False; H: False
2018-07-20 07:30:00 | t: 20.958514 | C: False; H: True
2018-07-20 07:35:00 | t: 24.831342 | C: False; H: False
2018-07-20 07:40:00 | t: 21.383765 | C: False; H: True
2018-07-20 07:45:00 | t: 25.256592 | C: False; H: False
2018-07-20 07:50:00 | t: 21.809016 | C: False; H: True
2018-07-20 07:55:00 | t: 25.681841 | C: False; H: False
2018-07-20 08:00:00 | t: 22.234267 | C: False; H: True
2018-07-20 08:05:00 | t: 26.227622 | C: False; H: False
2018-07-20 08:10:00 | t: 22.938436 | C: False; H: True
2018-07-20 08:15:00 | t: 26.970325 | C: False; H: False
2018-07-20 08:20:00 | t: 23.681788 | C: False; H: False
