2018-07-20 00:10:00 | t: 16.349446 | C: False; H: False
2018-07-20 00:20:00 | t: 16.299448 | C: False; H: False
2018-07-20 00:30:00 | t: 16.249450 | C: False; H: False
2018-07-20 00:40:00 | t: 16.199453 | C: False; H: False
2018-07-20 00:50:00 | t: 16.149457 | C: False; H: False
2018-07-20 01:00:00 | t: 16.099462 | C: False; H: False
2018-07-20 01:10:00 | t: 16.049468 | C: False; H: False
2018-07-20 01:20:00 | t: 15.999474 | C: False; H: False
2018-07-20 01:30:00 | t: 15.949482 | C: False; H: False
2018-07-20 01:40:00 | t: 15.899472 | C: False; H: False
2018-07-20 01:50:00 | t: 15.849472 | C: False; H: False
2018-07-20 02:00:00 | t: 15.799472 | C: False; H: False
2018-07-20 02:10:00 | t: 15.691015 | C: False; H: False
2018-07-20 02:20:00 | t: 15.574350 | C: False; H: False
2018-07-20 02:30:00 | t: 15.457683 | C: False; H: True
2018-07-20 02:40:00 | t: 19.125229 | C: False; H: False
2018-07-20 02:50:00 | t: 15.225416 | C: False; H: True
2018-07-20 03:00:00 | t: 18.891896 | C: False; H: False
2018-07-20 03:10:00 | t: 14.919011 | C: False; H: True
2018-07-20 03:20:00 | t: 18.502162 | C: False; H: False
2018-07-20 03:30:00 | t: 14.519013 | C: False; H: True
2018-07-20 03:40:00 | t: 18.102161 | C: False; H: False
2018-07-20 03:50:00 | t: 14.119013 | C: False; H: True
2018-07-20 04:00:00 | t: 17.702161 | C: False; H: False
2018-07-20 04:10:00 | t: 13.952803 | C: False; H: True
2018-07-20 04:20:00 | t: 17.802593 | C: False; H: False
2018-07-20 04:30:00 | t: 14.086126 | C: False; H: True
2018-07-20 04:40:00 | t: 17.935926 | C: False; H: False
2018-07-20 04:50:00 | t: 14.219460 | C: False; H: True
2018-07-20 05:00:00 | t: 18.069259 | C: False; H: False
2018-07-20 05:10:00 | t: 14.090675 | C: False; H: True
2018-07-20 05:20:00 | t: 17.641527 | C: False; H: False
2018-07-20 05:30:00 | t: 13.626071 | C: False; H: True
2018-07-20 05:40:00 | t: 17.176913 | C: False; H: False
2018-07-20 05:50:00 | t: 13.161457 | C: False; H: True
2018-07-20 06:00:00 | t: 16.712299 | C: False; H: True
2018-07-20 06:10:00 | t: 17.674559 | C: False; H: True
2018-07-20 06:20:00 | t: 18.803370 | C: False; H: True
2018-07-20 06:30:00 | t: 19.932229 | C: False; H: True
2018-07-20 06:40:00 | t: 21.061087 | C: False; H: True
2018-07-20 06:50:00 | t: 22.189945 | C: False; H: True
2018-07-20 07:00:00 | t: 23.318803 | C: False; H: True
2018-07-20 07:10:00 | t: 23.830694 | C: False; H: False
2018-07-20 07:20:00 | t: 20.471764 | C: False; H: True
2018-07-20 07:30:00 | t: 24.680152 | C: False; H: False
2018-07-20 07:40:00 | t: 21.322263 | C: False; H: True
2018-07-20 07:50:00 | t: 25.530651 | C: False; H: False
2018-07-20 08:00:00 | t: 22.172763 | C: False; H: True
2018-07-20 08:10:00 | t: 26.660090 | C: False; H: False
2018-07-20 08:20:00 | t: 23.620302 | C: False; H: False
2018-07-20 08:30:00 | t: 24.362596 | C: False; H: False
2018-07-20 08:40:00 | t: 25.105957 | C: False; H: False
2018-07-20 08:50:00 | t: 25.849319 | C: False; H: False
2018-07-20 09:00:00 | t: 26.592680 | C: False; H: False
2018-07-20 09:10:00 | t: 26.956302 | C: False; H: False
2018-07-20 09:20:00 | t: 27.266611 | C: False; H: False
2018-07-20 09:30:00 | t: 27.576905 | C: False; H: False
2018-07-20 09:40:00 | t: 27.887200 | C: False; H: False
2018-07-20 09:50:00 | t: 28.197494 | C: False; H: False
2018-07-20 10:00:00 | t: 28.507788 | C: False; H: False
2018-07-20 10:10:00 | t: 28.608128 | C: False; H: False
2018-07-20 10:20:00 | t: 28.678991 | C: False; H: False
2018-07-20 10:30:00 | t: 28.749846 | C: False; H: False
2018-07-20 10:40:00 | t: 28.820702 | C: False; H: False
2018-07-20 10:50:00 | t: 28.891557 | C: False; H: False
2018-07-20 11:00:00 | t: 28.962412 | C: False; H: False
2018-07-20 11:10:00 | t: 29.108150 | C: False; H: False
2018-07-20 11:20:00 | t: 29.264400 | C: False; H: False
2018-07-20 11:30:00 | t: 29.420653 | C: True; H: False
2018-07-20 11:40:00 | t: 26.984028 | C: False; H: False
2018-07-20 11:50:00 | t: 29.732429 | C: True; H: False
2018-07-20 12:00:00 | t: 27.296535 | C: False; H: False
2018-07-20 12:10:00 | t: 30.061154 | C: True; H: False
2018-07-20 12:20:00 | t: 27.643755 | C: True; H: False
2018-07-20 12:30:00 | t: 27.817770 | C: True; H: False
2018-07-20 12:40:00 | t: 27.992519 | C: True; H: False
2018-07-20 12:50:00 | t: 28.167268 | C: True; H: False
2018-07-20 13:00:00 | t: 28.342017 | C: True; H: False
2018-07-20 13:10:00 | t: 28.398222 | C: True; H: False
2018-07-20 13:20:00 | t: 28.437785 | C: True; H: False
2018-07-20 13:30:00 | t: 28.477342 | C: True; H: False
2018-07-20 13:40:00 | t: 28.516900 | C: True; H: False
2018-07-20 13:50:00 | t: 28.556457 | C: True; H: False
2018-07-20 14:00:00 | t: 28.596015 | C: True; H: False
2018-07-20 14:10:00 | t: 28.472965 | C: True; H: False
2018-07-20 14:20:00 | t: 28.326983 | C: True; H: False
2018-07-20 14:30:00 | t: 28.180995 | C: True; H: False
2018-07-20 14:40:00 | t: 28.035007 | C: True; H: False
2018-07-20 14:50:00 | t: 27.889019 | C: True; H: False
2018-07-20 15:00:00 | t: 27.743030 | C: True; H: False
2018-07-20 15:10:00 | t: 27.577762 | C: True; H: False
2018-07-20 15:20:00 | t: 27.409786 | C: False; H: False
2018-07-20 15:30:00 | t: 29.834697 | C: True; H: False
2018-07-20 15:40:00 | t: 27.074565 | C: False; H: False
2018-07-20 15:50:00 | t: 29.498745 | C: True; H: False
2018-07-20 16:00:00 | t: 26.738613 | C: False; H: False
2018-07-20 16:10:00 | t: 28.729210 | C: True; H: False
2018-07-20 16:20:00 | t: 25.474618 | C: False; H: False
2018-07-20 16:30:00 | t: 27.404326 | C: False; H: False
2018-07-20 16:40:00 | t: 26.742608 | C: False; H: False
2018-07-20 16:50:00 | t: 26.080157 | C: False; H: False
2018-07-20 17:00:00 | t: 25.417707 | C: False; H: False
2018-07-20 17:10:00 | t: 25.052209 | C: False; H: False
2018-07-20 17:20:00 | t: 24.728401 | C: False; H: False
2018-07-20 17:30:00 | t: 24.404605 | C: False; H: False
2018-07-20 17:40:00 | t: 24.080808 | C: False; H: False
2018-07-20 17:50:00 | t: 23.757012 | C: False; H: False
2018-07-20 18:00:00 | t: 23.433216 | C: True; H: False
2018-07-20 18:10:00 | t: 20.537394 | C: True; H: False
2018-07-20 18:20:00 | t: 20.236661 | C: True; H: False
2018-07-20 18:30:00 | t: 19.936659 | C: True; H: False
2018-07-20 18:40:00 | t: 19.636657 | C: True; H: False
