2018-07-20 01:44:00 | t: 15.879472 | C: False; H: False
2018-07-20 01:45:00 | t: 15.874472 | C: False; H: False
2018-07-20 01:46:00 | t: 15.869472 | C: False; H: False
2018-07-20 01:47:00 | t: 15.864472 | C: False; H: False
2018-07-20 01:48:00 | t: 15.859472 | C: False; H: False
2018-07-20 01:49:00 | t: 15.854472 | C: False; H: False
2018-07-20 01:50:00 | t: 15.849472 | C: False; H: False
2018-07-20 01:51:00 | t: 15.844472 | C: False; H: False
2018-07-20 01:52:00 | t: 15.839472 | C: False; H: False
2018-07-20 01:53:00 | t: 15.834472 | C: False; H: False
2018-07-20 01:54:00 | t: 15.829472 | C: False; H: False
2018-07-20 01:55:00 | t: 15.824472 | C: False; H: False
2018-07-20 01:56:00 | t: 15.819472 | C: False; H: False
2018-07-20 01:57:00 | t: 15.814472 | C: False; H: False
2018-07-20 01:58:00 | t: 15.809472 | C: False; H: False
2018-07-20 01:59:00 | t: 15.804472 | C: False; H: False
2018-07-20 02:00:00 | t: 15.799472 | C: False; H: False
2018-07-20 02:01:00 | t: 15.792391 | C: False; H: False
2018-07-20 02:02:00 | t: 15.782749 | C: False; H: False
2018-07-20 02:03:00 | t: 15.771977 | C: False; H: False
2018-07-20 02:04:00 | t: 15.760705 | C: False; H: False
2018-07-20 02:05:00 | t: 15.749213 | C: False; H: False
2018-07-20 02:06:00 | t: 15.737623 | C: False; H: False
2018-07-20 02:07:00 | t: 15.725990 | C: False; H: False
2018-07-20 02:08:00 | t: 15.714338 | C: False; H: False
2018-07-20 02:09:00 | t: 15.702678 | C: False; H: False
2018-07-20 02:10:00 | t: 15.691015 | C: False; H: False
2018-07-20 02:11:00 | t: 15.679349 | C: False; H: False
2018-07-20 02:12:00 | t: 15.667683 | C: False; H: False
2018-07-20 02:13:00 | t: 15.656017 | C: False; H: False
2018-07-20 02:14:00 | t: 15.644350 | C: False; H: False
2018-07-20 02:15:00 | t: 15.632684 | C: False; H: False
2018-07-20 02:16:00 | t: 15.621017 | C: False; H: False
2018-07-20 02:17:00 | t: 15.609350 | C: False; H: False
2018-07-20 02:18:00 | t: 15.597684 | C: False; H: False
2018-07-20 02:19:00 | t: 15.586017 | C: False; H: False
2018-07-20 02:20:00 | t: 15.574350 | C: False; H: False
2018-07-20 02:21:00 | t: 15.562683 | C: False; H: False
2018-07-20 02:22:00 | t: 15.551017 | C: False; H: False
2018-07-20 02:23:00 | t: 15.539350 | C: False; H: False
2018-07-20 02:24:00 | t: 15.527683 | C: False; H: False
2018-07-20 02:25:00 | t: 15.516017 | C: False; H: False
2018-07-20 02:26:00 | t: 15.504350 | C: False; H: False
2018-07-20 02:27:00 | t: 15.492683 | C: False; H: True
2018-07-20 02:28:00 | t: 17.594774 | C: False; H: False
2018-07-20 02:29:00 | t: 16.402738 | C: False; H: False
2018-07-20 02:30:00 | t: 15.869847 | C: False; H: False
2018-07-20 02:31:00 | t: 15.628019 | C: False; H: False
2018-07-20 02:32:00 | t: 15.514718 | C: False; H: False
2018-07-20 02:33:00 | t: 15.458172 | C: False; H: True
2018-07-20 02:34:00 | t: 17.540445 | C: False; H: False
2018-07-20 02:35:00 | t: 16.339658 | C: False; H: False
2018-07-20 02:36:00 | t: 15.802902 | C: False; H: False
2018-07-20 02:37:00 | t: 15.559368 | C: False; H: False
2018-07-20 02:38:00 | t: 15.445314 | C: False; H: True
2018-07-20 02:39:00 | t: 17.502192 | C: False; H: False
2018-07-20 02:40:00 | t: 16.290192 | C: False; H: False
2018-07-20 02:41:00 | t: 15.748485 | C: False; H: False
2018-07-20 02:42:00 | t: 15.502764 | C: False; H: False
2018-07-20 02:43:00 | t: 15.387744 | C: False; H: True
2018-07-20 02:44:00 | t: 17.444196 | C: False; H: False
2018-07-20 02:45:00 | t: 16.232007 | C: False; H: False
2018-07-20 02:46:00 | t: 15.690217 | C: False; H: False
2018-07-20 02:47:00 | t: 15.444459 | C: False; H: True
2018-07-20 02:48:00 | t: 17.443181 | C: False; H: False
2018-07-20 02:49:00 | t: 16.205499 | C: False; H: False
2018-07-20 02:50:00 | t: 15.652452 | C: False; H: False
2018-07-20 02:51:00 | t: 15.401723 | C: False; H: True
2018-07-20 02:52:00 | t: 17.398250 | C: False; H: False
2018-07-20 02:53:00 | t: 16.159599 | C: False; H: False
2018-07-20 02:54:00 | t: 15.606123 | C: False; H: False
2018-07-20 02:55:00 | t: 15.355206 | C: False; H: True
2018-07-20 02:56:00 | t: 17.351649 | C: False; H: False
2018-07-20 02:57:00 | t: 16.112961 | C: False; H: False
2018-07-20 02:58:00 | t: 15.559470 | C: False; H: False
2018-07-20 02:59:00 | t: 15.308545 | C: False; H: True
2018-07-20 03:00:00 | t: 17.304985 | C: False; H: False
2018-07-20 03:01:00 | t: 16.063694 | C: False; H: False
2018-07-20 03:02:00 | t: 15.504400 | C: False; H: False
2018-07-20 03:03:00 | t: 15.246259 | C: False; H: True
2018-07-20 03:04:00 | t: 17.234859 | C: False; H: False
2018-07-20 03:05:00 | t: 15.988055 | C: False; H: False
2018-07-20 03:06:00 | t: 15.426325 | C: False; H: True
2018-07-20 03:07:00 | t: 17.280867 | C: False; H: False
2018-07-20 03:08:00 | t: 15.974865 | C: False; H: False
2018-07-20 03:09:00 | t: 15.386995 | C: False; H: True
2018-07-20 03:10:00 | t: 17.229994 | C: False; H: False
2018-07-20 03:11:00 | t: 15.918896 | C: False; H: False
