2018-07-20 00:02:00 | t: 16.389572 | C: False; H: False
2018-07-20 00:04:00 | t: 16.379470 | C: False; H: False
2018-07-20 00:06:00 | t: 16.369451 | C: False; H: False
2018-07-20 00:08:00 | t: 16.359447 | C: False; H: False
2018-07-20 00:10:00 | t: 16.349446 | C: False; H: False
2018-07-20 00:12:00 | t: 16.339446 | C: False; H: False
2018-07-20 00:14:00 | t: 16.329447 | C: False; H: False
2018-07-20 00:16:00 | t: 16.319447 | C: False; H: False
2018-07-20 00:18:00 | t: 16.309447 | C: False; H: False
2018-07-20 00:20:00 | t: 16.299448 | C: False; H: False
2018-07-20 00:22:00 | t: 16.289448 | C: False; H: False
2018-07-20 00:24:00 | t: 16.279449 | C: False; H: False
2018-07-20 00:26:00 | t: 16.269449 | C: False; H: False
2018-07-20 00:28:00 | t: 16.259449 | C: False; H: False
2018-07-20 00:30:00 | t: 16.249450 | C: False; H: False
2018-07-20 00:32:00 | t: 16.239451 | C: False; H: False
2018-07-20 00:34:00 | t: 16.229451 | C: False; H: False
2018-07-20 00:36:00 | t: 16.219452 | C: False; H: False
2018-07-20 00:38:00 | t: 16.209452 | C: False; H: False
2018-07-20 00:40:00 | t: 16.199453 | C: False; H: False
2018-07-20 00:42:00 | t: 16.189454 | C: False; H: False
2018-07-20 00:44:00 | t: 16.179455 | C: False; H: False
2018-07-20 00:46:00 | t: 16.169455 | C: False; H: False
2018-07-20 00:48:00 | t: 16.159456 | C: False; H: False
2018-07-20 00:50:00 | t: 16.149457 | C: False; H: False
2018-07-20 00:52:00 | t: 16.139458 | C: False; H: False
2018-07-20 00:54:00 | t: 16.129459 | C: False; H: False
2018-07-20 00:56:00 | t: 16.119460 | C: False; H: False
2018-07-20 00:58:00 | t: 16.109461 | C: False; H: False
2018-07-20 01:00:00 | t: 16.099462 | C: False; H: False
2018-07-20 01:02:00 | t: 16.089463 | C: False; H: False
2018-07-20 01:04:00 | t: 16.079464 | C: False; H: False
2018-07-20 01:06:00 | t: 16.069465 | C: False; H: False
2018-07-20 01:08:00 | t: 16.059467 | C: False; H: False
2018-07-20 01:10:00 | t: 16.049468 | C: False; H: False
2018-07-20 01:12:00 | t: 16.039469 | C: False; H: False
2018-07-20 01:14:00 | t: 16.029470 | C: False; H: False
2018-07-20 01:16:00 | t: 16.019472 | C: False; H: False
2018-07-20 01:18:00 | t: 16.009473 | C: False; H: False
2018-07-20 01:20:00 | t: 15.999474 | C: False; H: False
2018-07-20 01:22:00 | t: 15.989476 | C: False; H: False
2018-07-20 01:24:00 | t: 15.979477 | C: False; H: False
2018-07-20 01:26:00 | t: 15.969479 | C: False; H: False
2018-07-20 01:28:00 | t: 15.959480 | C: False; H: False
2018-07-20 01:30:00 | t: 15.949482 | C: False; H: False
2018-07-20 01:32:00 | t: 15.939477 | C: False; H: False
2018-07-20 01:34:00 | t: 15.929473 | C: False; H: False
2018-07-20 01:36:00 | t: 15.919472 | C: False; H: False
2018-07-20 01:38:00 | t: 15.909472 | C: False; H: False
2018-07-20 01:40:00 | t: 15.899472 | C: False; H: False
2018-07-20 01:42:00 | t: 15.889472 | C: False; H: False
2018-07-20 01:44:00 | t: 15.879472 | C: False; H: False
2018-07-20 01:46:00 | t: 15.869472 | C: False; H: False
2018-07-20 01:48:00 | t: 15.859472 | C: False; H: False
2018-07-20 01:50:00 | t: 15.849472 | C: False; H: False
2018-07-20 01:52:00 | t: 15.839472 | C: False; H: False
2018-07-20 01:54:00 | t: 15.829472 | C: False; H: False
2018-07-20 01:56:00 | t: 15.819472 | C: False; H: False
2018-07-20 01:58:00 | t: 15.809472 | C: False; H: False
2018-07-20 02:00:00 | t: 15.799472 | C: False; H: True
2018-07-20 02:02:00 | t: 18.829891 | C: False; H: True
2018-07-20 02:04:00 | t: 19.402009 | C: False; H: True
2018-07-20 02:06:00 | t: 19.494782 | C: False; H: True
2018-07-20 02:08:00 | t: 19.494127 | C: False; H: True
2018-07-20 02:10:00 | t: 19.475228 | C: False; H: True
2018-07-20 02:12:00 | t: 19.452759 | C: False; H: True
2018-07-20 02:14:00 | t: 19.429594 | C: False; H: True
2018-07-20 02:16:00 | t: 19.406294 | C: False; H: True
2018-07-20 02:18:00 | t: 19.382967 | C: False; H: True
2018-07-20 02:20:00 | t: 19.359634 | C: False; H: True
2018-07-20 02:22:00 | t: 19.336301 | C: False; H: True
2018-07-20 02:24:00 | t: 19.312968 | C: False; H: True
2018-07-20 02:26:00 | t: 19.289635 | C: False; H: True
2018-07-20 02:28:00 | t: 19.266301 | C: False; H: True
2018-07-20 02:30:00 | t: 19.242968 | C: False; H: True
2018-07-20 02:32:00 | t: 19.219635 | C: False; H: True
2018-07-20 02:34:00 | t: 19.196301 | C: False; H: True
2018-07-20 02:36:00 | t: 19.172968 | C: False; H: True
2018-07-20 02:38:00 | t: 19.149634 | C: False; H: True
2018-07-20 02:40:00 | t: 19.126301 | C: False; H: True
2018-07-20 02:42:00 | t: 19.102968 | C: False; H: True
2018-07-20 02:44:00 | t: 19.079634 | C: False; H: True
2018-07-20 02:46:00 | t: 19.056301 | C: False; H: True
2018-07-20 02:48:00 | t: 19.032968 | C: False; H: True
2018-07-20 02:50:00 | t: 19.009634 | C: False; H: True
2018-07-20 02:52:00 | t: 18.986301 | C: False; H: True
2018-07-20 02:54:00 | t: 18.962967 | C: False; H: True
2018-07-20 02:56:00 | t: 18.939634 | C: False; H: True
2018-07-20 02:58:00 | t: 18.916301 | C: False; H: True
2018-07-20 03:00:00 | t: 18.892967 | C: False; H: True
2018-07-20 03:02:00 | t: 18.861230 | C: False; H: True
2018-07-20 03:04:00 | t: 18.822841 | C: False; H: True
2018-07-20 03:06:00 | t: 18.783156 | C: False; H: True
2018-07-20 03:08:00 | t: 18.743217 | C: False; H: True
2018-07-20 03:10:00 | t: 18.703229 | C: False; H: True
2018-07-20 03:12:00 | t: 18.663231 | C: False; H: True
2018-07-20 03:14:00 | t: 18.623231 | C: False; H: True
2018-07-20 03:16:00 | t: 18.583231 | C: False; H: True
2018-07-20 03:18:00 | t: 18.543231 | C: False; H: True
2018-07-20 03:20:00 | t: 18.503231 | C: False; H: True
2018-07-20 03:22:00 | t: 18.463231 | C: False; H: True
2018-07-20 03:24:00 | t: 18.423231 | C: False; H: True
2018-07-20 03:26:00 | t: 18.383231 | C: False; H: True
2018-07-20 03:28:00 | t: 18.343231 | C: False; H: True
2018-07-20 03:30:00 | t: 18.303231 | C: False; H: True
2018-07-20 03:32:00 | t: 18.263231 | C: False; H: True
2018-07-20 03:34:00 | t: 18.223231 | C: False; H: True
2018-07-20 03:36:00 | t: 18.183231 | C: False; H: True
2018-07-20 03:38:00 | t: 18.143231 | C: False; H: True
2018-07-20 03:40:00 | t: 18.103231 | C: False; H: True
2018-07-20 03:42:00 | t: 18.063231 | C: False; H: True
2018-07-20 03:44:00 | t: 18.023231 | C: False; H: True
2018-07-20 03:46:00 | t: 17.983230 | C: False; H: True
2018-07-20 03:48:00 | t: 17.943230 | C: False; H: True
2018-07-20 03:50:00 | t: 17.903230 | C: False; H: True
2018-07-20 03:52:00 | t: 17.863230 | C: False; H: True
2018-07-20 03:54:00 | t: 17.823230 | C: False; H: True
2018-07-20 03:56:00 | t: 17.783230 | C: False; H: True
2018-07-20 03:58:00 | t: 17.743230 | C: False; H: True
2018-07-20 04:00:00 | t: 17.703230 | C: False; H: True
2018-07-20 04:02:00 | t: 17.690110 | C: False; H: True
2018-07-20 04:04:00 | t: 17.698252 | C: False; H: True
2018-07-20 04:06:00 | t: 17.710572 | C: False; H: True
2018-07-20 04:08:00 | t: 17.723708 | C: False; H: True
2018-07-20 04:10:00 | t: 17.737003 | C: False; H: True
2018-07-20 04:12:00 | t: 17.750328 | C: False; H: True
2018-07-20 04:14:00 | t: 17.763660 | C: False; H: True
2018-07-20 04:16:00 | t: 17.776993 | C: False; H: True
2018-07-20 04:18:00 | t: 17.790327 | C: False; H: True
2018-07-20 04:20:00 | t: 17.803660 | C: False; H: True
2018-07-20 04:22:00 | t: 17.816993 | C: False; H: True
2018-07-20 04:24:00 | t: 17.830326 | C: False; H: True
2018-07-20 04:26:00 | t: 17.843660 | C: False; H: True
2018-07-20 04:28:00 | t: 17.856993 | C: False; H: True
2018-07-20 04:30:00 | t: 17.870326 | C: False; H: True
2018-07-20 04:32:00 | t: 17.883660 | C: False; H: True
2018-07-20 04:34:00 | t: 17.896993 | C: False; H: True
2018-07-20 04:36:00 | t: 17.910326 | C: False; H: True
2018-07-20 04:38:00 | t: 17.923660 | C: False; H: True
2018-07-20 04:40:00 | t: 17.936993 | C: False; H: True
2018-07-20 04:42:00 | t: 17.950326 | C: False; H: True
2018-07-20 04:44:00 | t: 17.963660 | C: False; H: True
2018-07-20 04:46:00 | t: 17.976993 | C: False; H: True
2018-07-20 04:48:00 | t: 17.990326 | C: False; H: True
2018-07-20 04:50:00 | t: 18.003660 | C: False; H: True
2018-07-20 04:52:00 | t: 18.016993 | C: False; H: True
2018-07-20 04:54:00 | t: 18.030326 | C: False; H: True
2018-07-20 04:56:00 | t: 18.043660 | C: False; H: True
2018-07-20 04:58:00 | t: 18.056993 | C: False; H: True
2018-07-20 05:00:00 | t: 18.070326 | C: False; H: True
2018-07-20 05:02:00 | t: 18.053553 | C: False; H: True
2018-07-20 05:04:00 | t: 18.012884 | C: False; H: True
2018-07-20 05:06:00 | t: 17.967552 | C: False; H: True
2018-07-20 05:08:00 | t: 17.921311 | C: False; H: True
2018-07-20 05:10:00 | t: 17.874893 | C: False; H: True
2018-07-20 05:12:00 | t: 17.828440 | C: False; H: True
2018-07-20 05:14:00 | t: 17.781980 | C: False; H: True
2018-07-20 05:16:00 | t: 17.735519 | C: False; H: True
2018-07-20 05:18:00 | t: 17.689057 | C: False; H: True
2018-07-20 05:20:00 | t: 17.642596 | C: False; H: True
2018-07-20 05:22:00 | t: 17.596135 | C: False; H: True
2018-07-20 05:24:00 | t: 17.549673 | C: False; H: True
2018-07-20 05:26:00 | t: 17.503212 | C: False; H: True
2018-07-20 05:28:00 | t: 17.456750 | C: False; H: True
2018-07-20 05:30:00 | t: 17.410289 | C: False; H: True
2018-07-20 05:32:00 | t: 17.363828 | C: False; H: True
2018-07-20 05:34:00 | t: 17.317366 | C: False; H: True
2018-07-20 05:36:00 | t: 17.270905 | C: False; H: True
2018-07-20 05:38:00 | t: 17.224443 | C: False; H: True
2018-07-20 05:40:00 | t: 17.177982 | C: False; H: True
2018-07-20 05:42:00 | t: 17.131521 | C: False; H: True
2018-07-20 05:44:00 | t: 17.085059 | C: False; H: True
2018-07-20 05:46:00 | t: 17.038598 | C: False; H: True
2018-07-20 05:48:00 | t: 16.992136 | C: False; H: True
2018-07-20 05:50:00 | t: 16.945675 | C: False; H: True
2018-07-20 05:52:00 | t: 16.899213 | C: False; H: True
2018-07-20 05:54:00 | t: 16.852752 | C: False; H: True
2018-07-20 05:56:00 | t: 16.806291 | C: False; H: True
2018-07-20 05:58:00 | t: 16.759829 | C: False; H: True
2018-07-20 06:00:00 | t: 16.713368 | C: False; H: False
2018-07-20 06:02:00 | t: 13.756983 | C: False; H: False
2018-07-20 06:04:00 | t: 13.362264 | C: False; H: False
2018-07-20 06:06:00 | t: 13.467011 | C: False; H: False
2018-07-20 06:08:00 | t: 13.669184 | C: False; H: False
2018-07-20 06:10:00 | t: 13.890354 | C: False; H: False
2018-07-20 06:12:00 | t: 14.115228 | C: False; H: False
2018-07-20 06:14:00 | t: 14.340825 | C: False; H: False
2018-07-20 06:16:00 | t: 14.566562 | C: False; H: False
2018-07-20 06:18:00 | t: 14.792327 | C: False; H: False
2018-07-20 06:20:00 | t: 15.018098 | C: False; H: False
2018-07-20 06:22:00 | t: 15.243869 | C: False; H: False
2018-07-20 06:24:00 | t: 15.469641 | C: False; H: False
2018-07-20 06:26:00 | t: 15.695412 | C: False; H: False
2018-07-20 06:28:00 | t: 15.921184 | C: False; H: False
2018-07-20 06:30:00 | t: 16.146956 | C: False; H: False
2018-07-20 06:32:00 | t: 16.372727 | C: False; H: False
2018-07-20 06:34:00 | t: 16.598499 | C: False; H: False
2018-07-20 06:36:00 | t: 16.824270 | C: False; H: False
2018-07-20 06:38:00 | t: 17.050042 | C: False; H: False
2018-07-20 06:40:00 | t: 17.275814 | C: False; H: False
2018-07-20 06:42:00 | t: 17.501585 | C: False; H: False
2018-07-20 06:44:00 | t: 17.727357 | C: False; H: False
2018-07-20 06:46:00 | t: 17.953129 | C: False; H: False
2018-07-20 06:48:00 | t: 18.178900 | C: False; H: False
2018-07-20 06:50:00 | t: 18.404672 | C: False; H: False
2018-07-20 06:52:00 | t: 18.630443 | C: False; H: False
2018-07-20 06:54:00 | t: 18.856215 | C: False; H: False
2018-07-20 06:56:00 | t: 19.081987 | C: False; H: False
2018-07-20 06:58:00 | t: 19.307758 | C: False; H: False
2018-07-20 07:00:00 | t: 19.533530 | C: False; H: False
2018-07-20 07:02:00 | t: 19.688347 | C: False; H: False
2018-07-20 07:04:00 | t: 19.787001 | C: False; H: False
2018-07-20 07:06:00 | t: 19.874703 | C: False; H: False
2018-07-20 07:08:00 | t: 19.960271 | C: False; H: False
2018-07-20 07:10:00 | t: 20.045421 | C: False; H: False
2018-07-20 07:12:00 | t: 20.130491 | C: False; H: False
2018-07-20 07:14:00 | t: 20.215545 | C: False; H: False
2018-07-20 07:16:00 | t: 20.300596 | C: False; H: False
2018-07-20 07:18:00 | t: 20.385646 | C: False; H: False
2018-07-20 07:20:00 | t: 20.470696 | C: False; H: False
2018-07-20 07:22:00 | t: 20.555746 | C: False; H: False
2018-07-20 07:24:00 | t: 20.640795 | C: False; H: False
2018-07-20 07:26:00 | t: 20.725845 | C: False; H: False
2018-07-20 07:28:00 | t: 20.810895 | C: False; H: False
2018-07-20 07:30:00 | t: 20.895945 | C: False; H: False
2018-07-20 07:32:00 | t: 20.980995 | C: False; H: False
2018-07-20 07:34:00 | t: 21.066045 | C: False; H: False
2018-07-20 07:36:00 | t: 21.151095 | C: False; H: False
2018-07-20 07:38:00 | t: 21.236145 | C: False; H: False
2018-07-20 07:40:00 | t: 21.321195 | C: False; H: False
