date,sr_out,t_out
2018-12-16 23:00:00,-3.54,21.9
2018-12-17 00:00:00,-3.54,21.0
2018-12-17 01:00:00,-3.54,20.4
2018-12-17 02:00:00,-3.54,19.6
2018-12-17 03:00:00,-3.54,19.5
2018-12-17 04:00:00,27.98,19.6
2018-12-17 05:00:00,454.2,21.4
2018-12-17 06:00:00,1304.0,25.3
2018-12-17 07:00:00,2182.0,28.4
2018-12-17 08:00:00,2900.0,30.4
2018-12-17 09:00:00,3535.0,31.3
2018-12-17 10:00:00,3912.0,32.0
2018-12-17 11:00:00,3875.0,32.3
2018-12-17 12:00:00,3573.0,33.0
2018-12-17 13:00:00,3190.0,33.1
2018-12-17 14:00:00,1748.0,32.6
2018-12-17 15:00:00,1089.0,31.5
2018-12-17 16:00:00,436.6,29.9
2018-12-17 17:00:00,37.43,27.6
2018-12-17 18:00:00,-3.54,26.5
2018-12-17 19:00:00,-3.54,24.0
2018-12-17 20:00:00,-3.54,22.8
2018-12-17 21:00:00,-3.54,21.9
2018-12-17 22:00:00,-3.54,21.4
