date,sr_out,t_out
2018-10-03 00:00:00,-3.52,21.7
2018-10-03 01:00:00,-3.54,21.0
2018-10-03 02:00:00,-3.54,20.3
2018-10-03 03:00:00,-3.54,19.3
2018-10-03 04:00:00,-3.54,19.7
2018-10-03 05:00:00,1.247,19.3
2018-10-03 06:00:00,237.6,21.6
2018-10-03 07:00:00,434.0,22.8
2018-10-03 08:00:00,704.7,24.5
2018-10-03 09:00:00,2408.0,30.3
2018-10-03 10:00:00,3039.0,33.5
2018-10-03 11:00:00,3331.0,34.2
2018-10-03 12:00:00,3282.0,34.3
2018-10-03 13:00:00,2663.0,34.5
2018-10-03 14:00:00,2072.0,35.2
2018-10-03 15:00:00,1908.0,34.8
2018-10-03 16:00:00,1003.0,34.4
2018-10-03 17:00:00,208.7,30.3
2018-10-03 18:00:00,-2.38,26.0
2018-10-03 19:00:00,-3.17,24.3
2018-10-03 20:00:00,-3.19,23.7
2018-10-03 21:00:00,-3.08,24.0
2018-10-03 22:00:00,-3.4,23.5
2018-10-03 23:00:00,-1.87,21.7
2018-10-04 00:00:00,-3.45,21.4
